out_channels,iteration,rel_norms
16,10,"[0, 2.943730259552524e-10, 1.070814548143062e-09, 2.4911821494555397e-09, 3.9658787365226544e-09, 5.4959339301774435e-09, 7.703522264534968e-09, 1.0523364402104107e-08, 1.376736058489314e-08, 1.693625506504759e-08, 2.1112947834467377e-08]"
16,11,"[0, 1.1378578079757062e-09, 4.108636542099475e-09, 9.616613994012368e-08, 1.0264329119991089e-07, 1.1087308138257868e-07, 1.2037126850827917e-07, 1.314147652919928e-07, 1.454762212915739e-07, 1.5996721458577667e-07, 1.7436806842852093e-07]"
16,12,"[0, 2.4107604801315574e-09, 8.87675621896733e-09, 1.9287544006374446e-08, 3.3882059824463795e-08, 5.260366719994636e-08, 7.62887111704913e-06, 7.670049853913952e-06, 7.708540579187684e-06, 7.748000825813506e-06, 7.796098543622065e-06]"
16,13,"[0, 9.655494459526182e-11, 2.489535799732323e-10, 1.1091225360360113e-06, 1.1091245823990903e-06, 1.1095781928815995e-06, 1.1099743915110594e-06, 1.110454832087271e-06, 1.1111475259895087e-06, 1.1119402643089416e-06, 1.1126350045742583e-06]"
16,14,"[0, 9.951762747206772e-10, 2.890403694166821e-09, 1.3406771586232935e-06, 1.3440231896311161e-06, 1.349421609120327e-06, 9.204977686749771e-06, 9.206537470163312e-06, 9.209121344611049e-06, 9.214579222316388e-06, 9.223545930581167e-06]"
16,15,"[0, 1.7448334999059512e-09, 5.17221598883566e-09, 1.055641263292273e-08, 1.7202870239430013e-08, 2.5737879383314066e-08, 3.591324215790337e-08, 4.831443334296637e-08, 6.399383067900999e-08, 7.933795131975785e-08, 9.848891835417817e-08]"
16,16,"[0, 8.17671153008348e-10, 2.50841947213587e-09, 5.607779574035021e-09, 2.744775883911643e-06, 2.7490812044561608e-06, 2.7539358598005492e-06, 2.760459892670042e-06, 2.7695441531250253e-06, 2.7802980184787884e-06, 2.7897372092411388e-06]"
16,17,"[0, 5.549062320753251e-10, 2.0112567167274165e-09, 4.52250770166529e-09, 7.881705954559948e-09, 6.216689598659286e-06, 6.223694526852341e-06, 6.229034624993801e-06, 6.236239187273895e-06, 6.245114946068497e-06, 6.254505933611654e-06]"
16,18,"[0, 1.3853393987517393e-09, 4.9629758080982356e-09, 9.76915348616103e-09, 1.719858744309022e-08, 2.7633124233261697e-08, 3.7506811878529334e-08, 5.173231443222903e-08, 6.508089001044937e-08, 8.21482899482362e-08, 1.0255464388819746e-07]"
16,19,"[0, 2.253582598310544e-10, 6.776730843149892e-10, 1.368604674034657e-09, 1.1671015727188205e-06, 1.170806626760168e-06, 1.1734847475963761e-06, 1.1784958360294695e-06, 1.1822202168332296e-06, 1.1846417464767e-06, 1.1862824749186984e-06]"
16,20,"[0, 1.803463489657986e-09, 6.737360003228332e-09, 1.5021926813574282e-08, 2.6610907255530947e-08, 4.1437751008288615e-08, 5.995258334223763e-08, 8.194942324735166e-08, 1.0775880099345159e-07, 1.3707025914300175e-07, 1.680287908811806e-07]"
16,21,"[0, 5.886440224145417e-10, 1.0578066200750413e-09, 1.768753921105315e-09, 2.3851576269606767e-09, 3.511128943145536e-09, 4.819464383132299e-09, 6.275639119479592e-09, 8.099281245677048e-09, 1.057506970880695e-08, 1.2698669671351581e-08]"
16,22,"[0, 1.3665150122577074e-09, 5.085093448542466e-07, 5.147457500243036e-07, 5.234462037151388e-07, 5.341695441529737e-07, 5.474886961565062e-07, 5.632830379909137e-07, 5.804856755275978e-07, 5.989321039123752e-07, 6.213101642060792e-07]"
